key_row,regiontype,regionname,statename,home_value,home_value_rounded,home_value_change_mm,home_value_change_yy,2016_median_home_value,2017_median_home_value,2018_median_home_value,2019_median_home_value,2020_median_home_value,2021_median_home_value,2022_median_home_value,2023_median_home_value,2024_median_home_value,2025_median_home_value,date,forecastyoypctchange,top_tier,bottom_tier,sale_price,listing_price,current_days_to_pending,dtp_month,days_to_pending,inventory,clean_regionname,zestimate_accuracy,zillow_on_market_median_error,zillow_on_market_properties,zillow_on_market_within_5,zillow_on_market_within_10,zillow_on_market_within_20,zillow_off_market_median_error,zillow_off_market_properties,zillow_off_market_within_5,zillow_off_market_within_10,zillow_off_market_within_20,home_value_one_bed,home_value_two_bed,home_value_three_bed,home_value_four_bed,home_value_five_bed
panama_city_fl,metro,"Panama City, FL",FL,333299.79,333000.00,0.10,-3.73,176258.22,183450.65,198982.41,207948.66,229240.67,267547.55,337682.36,344525.59,340821.97,333141.09,"February 28, 2025",0.70,526406.87,220510.84,292500.00,397967.00,68.00,February 25,57.67,3442.00,panama city,"March 2, 2025",1.95,283000.00,84.73,95.36,98.69,6.85,9400000.00,39.13,64.03,85.21,297800.27,329968.98,311928.46,399058.69,533097.64
merced_ca,metro,"Merced, CA",CA,413479.51,413000.00,-0.09,2.82,212982.70,236089.18,258820.40,280016.48,291891.54,351309.81,407098.56,392268.98,411606.21,413656.10,"February 28, 2025",0.70,536050.46,332413.12,409500.00,446631.00,28.00,February 25,19.33,458.00,merced,"March 2, 2025",2.00,108500.00,81.43,94.38,98.63,6.32,10700000.00,41.85,66.50,85.85,244358.37,297182.43,388076.04,463312.33,551778.05
las_cruces_nm,metro,"Las Cruces, NM",NM,278476.69,278000.00,-0.01,2.36,160579.98,162096.95,165550.61,173107.46,181823.10,210082.53,250138.90,268952.86,276176.62,278487.97,"February 28, 2025",2.70,398043.25,200415.11,290000.00,357067.00,49.00,February 25,32.58,646.00,las cruces,"March 2, 2025",1.70,9500.00,86.08,95.87,98.94,6.43,722700.00,41.46,65.75,84.75,152021.59,194580.44,272227.47,336954.59,433856.75
houma_la,metro,"Houma, LA",LA,173620.31,174000.00,0.30,-1.75,183379.21,176662.56,173110.19,177767.94,190284.27,189427.74,185492.60,174869.54,176922.30,173358.66,"February 28, 2025",-7.30,283795.89,89399.91,199950.00,223333.00,77.00,February 25,66.58,820.00,houma,"March 2, 2025",2.05,21900.00,82.03,94.11,98.01,9.02,1500000.00,33.00,53.52,74.34,122731.79,125786.52,210608.91,297351.28,437755.20
saginaw_mi,metro,"Saginaw, MI",MI,154280.60,154000.00,0.64,5.88,72690.67,78943.20,85396.35,92949.65,100138.74,119639.43,133087.04,140918.59,149556.23,153790.62,"February 28, 2025",2.40,266227.25,65164.04,129000.00,164600.00,28.00,February 25,16.08,472.00,saginaw,"March 2, 2025",2.48,30200.00,76.55,93.20,98.34,8.81,3800000.00,31.69,54.57,77.45,56947.80,88470.65,164297.53,223163.94,265205.85
racine_wi,metro,"Racine, WI",WI,274524.13,275000.00,0.60,6.81,145501.83,155217.87,169101.26,181608.47,190464.83,219979.29,239286.34,251690.86,265422.75,273699.71,"February 28, 2025",2.10,423933.94,180589.00,253500.00,274967.00,35.00,February 25,18.83,415.00,racine,"March 2, 2025",2.52,19000.00,75.80,93.64,98.71,7.99,2200000.00,34.28,58.33,80.93,157640.47,200655.17,288288.52,356957.35,307466.20
athens_ga,metro,"Athens, GA",GA,353840.32,354000.00,0.30,3.96,164711.67,174219.61,189258.72,207741.22,226012.67,269754.82,317085.83,327039.80,348946.03,353305.71,"February 28, 2025",3.20,569095.90,240411.20,347500.00,386767.00,48.00,February 25,30.17,585.00,athens,"March 2, 2025",1.62,71100.00,86.40,95.65,98.61,6.75,3800000.00,39.86,63.81,83.22,240651.11,236894.26,324082.85,456034.01,655570.39
torrington_ct,metro,"Torrington, CT",CT,392626.43,393000.00,0.43,5.78,218816.14,223893.84,229388.65,230646.85,237995.12,296287.50,332521.72,347791.20,382589.49,391789.07,"February 28, 2025",4.60,647597.86,266864.34,372450.00,502167.00,25.00,February 25,15.17,452.00,torrington,"March 2, 2025",3.16,9800.00,68.29,91.11,98.81,8.15,1300000.00,32.89,58.27,83.60,202479.95,285127.49,385303.83,540108.11,737722.72
st_cloud_mn,metro,"St. Cloud, MN",MN,298595.47,299000.00,0.45,4.74,171654.15,183337.97,190945.01,201435.33,212472.17,242875.72,272775.17,278774.85,289204.69,297923.22,"February 28, 2025",1.00,461541.18,208770.64,258000.00,302467.00,38.00,February 25,24.67,352.00,st cloud,"March 2, 2025",1.92,23400.00,84.54,96.22,99.10,6.53,2100000.00,40.46,65.56,85.85,188666.56,246206.26,289230.43,332276.68,401152.82
bloomington_il,metro,"Bloomington, IL",IL,234822.60,235000.00,0.59,7.49,163534.04,162765.08,163122.10,162087.48,166659.03,179451.21,203779.46,211009.27,225653.61,234137.19,"February 28, 2025",1.30,364684.30,149515.72,211250.00,228333.00,9.00,February 25,6.42,214.00,bloomington,"March 2, 2025",2.21,45300.00,80.30,94.85,98.74,8.18,4300000.00,33.85,57.38,79.92,115532.14,152577.73,218590.90,315378.60,415391.19
laredo_tx,metro,"Laredo, TX",TX,208393.12,208000.00,0.33,1.54,149162.68,152618.84,158338.11,163714.01,174253.69,190302.84,205080.80,210832.50,205832.30,208051.12,"February 28, 2025",-1.30,306285.08,141068.59,225000.00,255000.00,69.00,February 25,53.33,526.00,laredo,"March 2, 2025",1.90,231800.00,84.41,95.11,98.57,6.37,10000000.00,41.50,66.60,86.27,147400.38,144405.63,226540.63,298080.96,622446.91
hilo_hi,metro,"Hilo, HI",HI,559431.15,559000.00,-0.27,1.94,330888.22,347148.33,362074.34,370786.47,383492.71,446033.15,557584.11,550597.39,562138.99,560175.85,"February 28, 2025",0.40,1039520.45,340123.79,630000.00,681333.00,45.00,February 25,37.25,1335.00,hilo,"March 2, 2025",1.86,8700.00,83.67,95.17,98.90,7.83,525000.00,35.11,59.46,82.63,340722.67,505527.72,571273.02,805674.23,973440.22
redding_ca,metro,"Redding, CA",CA,366158.70,366000.00,0.04,1.56,224874.33,239805.49,255559.73,270745.50,282428.76,335575.07,369029.93,360066.16,363706.73,366088.98,"February 28, 2025",-0.90,506594.68,260141.52,365000.00,399900.00,36.00,February 25,23.33,632.00,redding,"March 2, 2025",2.00,108500.00,81.43,94.38,98.63,6.32,10700000.00,41.85,66.50,85.85,183393.80,249398.30,363528.01,485161.27,601776.95
elkhart_in,metro,"Elkhart, IN",IN,242733.93,243000.00,0.51,5.09,128891.35,138596.46,149086.43,159526.41,167623.12,195344.64,222442.76,227329.58,234010.33,242119.59,"February 28, 2025",1.40,376141.20,161313.39,200000.00,264300.00,30.00,February 25,15.92,413.00,elkhart,"March 2, 2025",1.92,26500.00,83.04,94.78,98.68,7.42,2500000.00,36.61,60.67,81.40,116262.30,168084.89,237270.51,307774.07,450939.38
warner_robins_ga,metro,"Warner Robins, GA",GA,238614.91,239000.00,0.43,3.74,131437.34,133605.33,141941.88,150501.35,158539.21,177813.81,208406.49,222917.93,233034.71,238099.83,"February 28, 2025",2.40,351992.80,145055.54,224900.00,258417.00,27.00,February 25,17.25,555.00,warner robins,"March 2, 2025",1.62,71100.00,86.40,95.65,98.61,6.75,3800000.00,39.86,63.81,83.22,81503.40,123420.93,211741.74,318446.80,410747.59
blacksburg_va,metro,"Blacksburg, VA",VA,264487.75,264000.00,0.40,3.50,160314.52,164367.48,172314.31,181048.83,192947.37,221173.93,245759.97,253728.72,260667.55,263963.79,"February 28, 2025",0.90,430725.69,157243.69,274500.00,279783.00,29.00,February 25,16.42,250.00,blacksburg,"March 2, 2025",1.65,33300.00,86.26,96.49,99.07,5.62,3000000.00,45.96,70.31,87.08,158702.01,189503.90,279600.91,401592.61,517890.58
greenville_nc,metro,"Greenville, NC",NC,239485.86,239000.00,0.27,2.34,126195.90,130905.38,135979.78,143705.70,151995.20,178214.62,211977.24,226812.34,237079.48,239159.99,"February 28, 2025",3.30,359197.90,152661.52,240000.00,261217.00,27.00,February 25,15.50,365.00,greenville,"March 2, 2025",1.56,73200.00,87.33,96.03,98.79,6.38,4100000.00,41.72,65.53,83.94,98426.75,142059.93,237579.05,367298.20,438021.60
bend_or,metro,"Bend, OR",OR,668672.36,669000.00,-0.22,1.50,341921.75,371531.93,400923.18,415219.01,444470.47,593568.73,671732.80,642489.03,666571.96,669413.62,"February 28, 2025",0.80,1042432.51,490652.32,720000.00,753267.00,52.00,February 25,34.58,983.00,bend,"March 2, 2025",1.59,23000.00,88.32,97.03,99.13,6.28,1600000.00,42.04,67.12,86.51,369444.13,547181.78,643286.90,847128.73,1168034.61
billings_mt,metro,"Billings, MT",MT,393016.85,393000.00,0.10,2.69,234903.94,238482.32,244596.04,256537.47,268615.58,306775.52,363035.62,375763.16,386004.62,392819.65,"February 28, 2025",1.80,557165.40,292520.28,420220.00,428602.00,50.00,February 25,28.58,715.00,billings,"March 2, 2025",2.01,7000.00,82.35,94.24,98.47,8.12,457600.00,33.56,57.35,80.16,235089.43,287554.53,381380.10,430057.87,526809.28
kingston_ny,metro,"Kingston, NY",NY,410543.86,411000.00,-0.06,6.49,194430.53,203537.26,216954.71,226016.62,240113.32,313828.67,359162.40,367585.68,400735.66,410669.29,"February 28, 2025",4.70,619245.97,295254.61,425000.00,491300.00,50.00,February 25,34.75,527.00,kingston,"March 2, 2025",3.22,55900.00,66.94,88.64,97.74,9.37,5500000.00,30.09,52.51,77.22,284405.87,328114.71,409920.34,523521.80,569002.78
oshkosh_wi,metro,"Oshkosh, WI",WI,274764.48,275000.00,0.61,7.81,149248.81,158663.87,169223.03,179183.36,188620.93,217796.87,239325.06,250256.12,264138.22,273932.58,"February 28, 2025",2.30,406310.48,187150.95,240000.00,285417.00,56.00,February 25,56.00,393.00,oshkosh,"March 2, 2025",2.52,19000.00,75.80,93.64,98.71,7.99,2200000.00,34.28,58.33,80.93,137959.17,196004.92,268311.63,334662.33,377756.35
monroe_la,metro,"Monroe, LA",LA,154254.86,154000.00,0.23,3.84,125518.08,124671.60,125647.50,127648.77,129199.63,137083.31,150703.44,149224.28,152506.07,154080.13,"February 28, 2025",-2.70,274344.33,63852.27,199900.00,229633.00,49.00,February 25,32.08,515.00,monroe,"March 2, 2025",2.05,21900.00,82.03,94.11,98.01,9.02,1500000.00,33.00,53.52,74.34,58787.89,68197.44,163230.80,267971.29,375632.95
columbia_mo,metro,"Columbia, MO",MO,298348.65,298000.00,0.49,6.17,169662.12,181402.02,184100.87,191133.04,201224.24,235049.72,271806.12,279261.47,287995.08,297623.69,"February 28, 2025",2.20,474926.70,196517.59,294500.00,350833.00,26.00,February 25,16.50,536.00,columbia,"March 2, 2025",2.23,27800.00,79.74,94.22,98.57,8.16,2300000.00,34.12,57.21,79.74,154275.02,167928.25,270913.22,373727.24,522860.85
waterloo_ia,metro,"Waterloo, IA",IA,189448.23,189000.00,0.62,5.93,128707.61,128455.66,131958.18,138125.53,142075.38,151203.60,167153.30,175420.79,183429.15,188865.09,"February 28, 2025",0.10,326323.52,107047.99,180000.00,218200.00,30.00,February 25,14.00,430.00,waterloo,"March 2, 2025",1.85,14200.00,83.34,95.17,98.74,7.82,1300000.00,35.37,58.90,80.66,69697.05,130044.51,197141.64,270341.54,419948.29
jacksonville_nc,metro,"Jacksonville, NC",NC,276600.91,277000.00,0.40,3.36,146413.21,147769.30,155340.55,168409.63,178577.57,202529.61,239421.38,259945.33,271240.05,276043.34,"February 28, 2025",2.60,393625.13,200574.75,250000.00,315083.00,20.00,February 25,15.67,862.00,jacksonville,"March 2, 2025",1.56,73200.00,87.33,96.03,98.79,6.38,4100000.00,41.72,65.53,83.94,180919.21,176503.19,262085.52,350475.83,464616.17
iowa_city_ia,metro,"Iowa City, IA",IA,283323.41,283000.00,0.41,3.47,193016.19,200391.91,208899.92,216163.27,221712.72,236244.66,260587.44,270504.90,276887.41,282744.39,"February 28, 2025",-0.70,455348.53,175757.51,314000.00,318467.00,49.00,February 25,39.17,503.00,iowa city,"March 2, 2025",1.85,14200.00,83.34,95.17,98.74,7.82,1300000.00,35.37,58.90,80.66,155658.30,172495.24,273861.90,370292.16,513341.00
joplin_mo,metro,"Joplin, MO",MO,210199.07,210000.00,0.48,5.77,111045.26,113122.59,121231.32,131108.62,138288.01,160443.74,187893.55,195039.44,202397.90,209693.47,"February 28, 2025",2.60,333268.85,132389.94,206050.00,228667.00,32.00,February 25,17.67,647.00,joplin,"March 2, 2025",2.23,27800.00,79.74,94.22,98.57,8.16,2300000.00,34.12,57.21,79.74,82586.54,121407.45,205052.91,288689.78,403136.62
eau_claire_wi,metro,"Eau Claire, WI",WI,296470.83,296000.00,0.38,4.96,159557.86,169827.19,181164.22,192686.69,205135.33,238713.54,265015.07,276661.18,290377.41,295907.85,"February 28, 2025",2.10,428528.50,207066.06,279450.00,291600.00,62.00,February 25,35.58,397.00,eau claire,"March 2, 2025",2.52,19000.00,75.80,93.64,98.71,7.99,2200000.00,34.28,58.33,80.93,169596.51,223339.07,285070.85,353816.96,424366.05
muskegon_mi,metro,"Muskegon, MI",MI,226364.95,226000.00,0.29,5.01,103616.45,115844.41,128627.72,138536.26,150230.09,184636.81,208075.78,209121.67,222949.63,226041.55,"February 28, 2025",2.00,346129.83,137258.50,196350.00,209633.00,30.00,February 25,15.00,428.00,muskegon,"March 2, 2025",2.48,30200.00,76.55,93.20,98.34,8.81,3800000.00,31.69,54.57,77.45,133017.59,163614.56,234469.69,298097.16,371996.12
bloomington_in,metro,"Bloomington, IN",IN,287872.08,288000.00,0.45,5.02,156325.39,165532.49,177593.70,190227.49,204260.21,238951.17,265633.31,272374.13,281034.92,287231.39,"February 28, 2025",1.40,448150.84,193576.57,308750.00,325233.00,85.00,February 25,76.50,535.00,bloomington,"March 2, 2025",1.92,26500.00,83.04,94.78,98.68,7.42,2500000.00,36.61,60.67,81.40,153224.82,211533.09,282360.22,406100.24,538993.17
yuma_az,metro,"Yuma, AZ",AZ,277461.93,277000.00,0.08,2.87,137245.13,143047.28,152417.57,163061.27,174615.18,213997.08,262482.85,262230.08,271769.09,277357.93,"February 28, 2025",3.10,386781.26,215592.95,280500.00,323500.00,47.00,February 25,29.83,751.00,yuma,"March 2, 2025",1.41,53500.00,90.58,97.51,99.38,5.68,2600000.00,45.54,70.29,88.08,190937.92,223310.77,266528.79,356419.41,383421.24
gainesville_ga,metro,"Gainesville, GA",GA,382058.60,382000.00,0.12,2.66,186714.53,199566.44,212610.81,226179.11,238128.89,287569.96,355887.73,360109.10,380162.77,381832.05,"February 28, 2025",3.00,587063.40,270326.28,395000.00,450000.00,49.00,February 25,33.83,875.00,gainesville,"March 2, 2025",1.62,71100.00,86.40,95.65,98.61,6.75,3800000.00,39.86,63.81,83.22,229215.99,264204.27,343617.27,466781.70,616023.79
terre_haute_in,metro,"Terre Haute, IN",IN,154920.09,155000.00,0.74,8.63,84427.90,86709.23,93571.04,99152.92,105793.69,120395.01,132964.74,141688.09,148437.14,154354.58,"February 28, 2025",2.30,276216.78,88630.75,113078.00,169933.00,33.00,February 25,23.50,469.00,terre haute,"March 2, 2025",1.92,26500.00,83.04,94.78,98.68,7.42,2500000.00,36.61,60.67,81.40,74505.99,106241.98,174342.18,251061.76,282143.82
santa_fe_nm,metro,"Santa Fe, NM",NM,543542.79,544000.00,-0.04,1.91,294817.70,317008.20,330161.10,365095.03,391778.00,461418.57,518802.07,527614.32,541859.21,543638.75,"February 28, 2025",1.10,971797.14,373094.01,549000.00,625667.00,41.00,February 25,27.00,824.00,santa fe,"March 2, 2025",1.70,9500.00,86.08,95.87,98.94,6.43,722700.00,41.46,65.75,84.75,322743.93,456780.65,548635.19,721362.42,1115929.54
bowling_green_ky,metro,"Bowling Green, KY",KY,250267.30,250000.00,0.80,3.81,136318.33,145052.29,153596.98,160353.36,170436.71,196822.49,224918.73,236269.25,244863.53,249272.21,"February 28, 2025",2.80,390193.25,156358.63,270000.00,303383.00,54.00,February 25,35.08,681.00,bowling green,"March 2, 2025",1.99,17300.00,82.29,94.80,98.52,8.13,1600000.00,34.44,57.28,78.45,129861.95,159120.52,254285.48,390049.13,511708.75
pueblo_co,metro,"Pueblo, CO",CO,286648.05,287000.00,-0.06,0.73,140125.11,152697.53,170992.01,187408.45,206476.91,258249.03,295499.86,289134.23,285943.20,286737.14,"February 28, 2025",0.10,408320.05,185429.90,267450.00,334667.00,72.00,February 25,44.08,1064.00,pueblo,"March 2, 2025",1.34,41500.00,91.27,97.73,99.38,5.30,2200000.00,47.86,72.71,89.84,129140.14,198168.81,299278.71,353161.74,433414.30
dover_de,metro,"Dover, DE",DE,353011.77,353000.00,0.22,3.93,201096.58,205555.13,213341.38,224343.77,235520.24,278029.88,316253.55,327374.53,344140.45,352626.67,"February 28, 2025",1.90,457708.74,256954.84,330000.00,374133.00,26.00,February 25,17.83,427.00,dover,"March 2, 2025",2.53,4500.00,70.36,83.93,94.77,8.98,434300.00,30.74,53.56,78.53,163733.27,244033.84,326797.51,426444.02,483529.05
abilene_tx,metro,"Abilene, TX",TX,187733.94,188000.00,0.26,1.39,121798.22,124323.22,132495.61,136929.00,141559.55,160471.28,180754.17,184475.85,187097.20,187486.63,"February 28, 2025",-0.60,324653.54,102013.68,220000.00,242600.00,51.00,February 25,36.75,877.00,abilene,"March 2, 2025",1.90,231800.00,84.41,95.11,98.57,6.37,10000000.00,41.50,66.60,86.27,86380.37,115847.32,208242.51,331943.28,480892.12
sioux_city_ia,metro,"Sioux City, IA",IA,201201.37,201000.00,0.28,4.38,119352.29,126221.21,132020.12,140499.74,147777.25,164493.27,182775.53,190553.00,197319.58,200921.72,"February 28, 2025",0.40,342495.55,123787.03,190000.00,236667.00,27.00,February 25,19.75,303.00,sioux city,"March 2, 2025",1.85,14200.00,83.34,95.17,98.74,7.82,1300000.00,35.37,58.90,80.66,93870.96,148281.79,215317.28,264509.11,388726.33
sebastian_fl,metro,"Sebastian, FL",FL,369426.64,369000.00,-0.38,-2.64,186610.06,205860.19,223763.42,234296.66,241911.83,283828.08,373030.26,375861.54,378137.27,370128.64,"February 28, 2025",1.10,726784.86,241334.10,385000.00,429983.00,61.00,February 25,48.83,2086.00,sebastian,"March 2, 2025",1.95,283000.00,84.73,95.36,98.69,6.85,9400000.00,39.13,64.03,85.21,121638.98,255732.96,390260.65,525394.61,955246.22
janesville_wi,metro,"Janesville, WI",WI,263026.88,263000.00,0.83,7.94,130027.92,142303.49,153316.43,164664.36,174193.93,202841.06,222861.78,236299.55,253212.28,261940.54,"February 28, 2025",2.90,382414.39,174573.24,210000.00,273300.00,24.00,February 25,14.42,367.00,janesville,"March 2, 2025",2.52,19000.00,75.80,93.64,98.71,7.99,2200000.00,34.28,58.33,80.93,127399.60,183842.28,262688.23,321370.80,361214.03
homosassa_springs_fl,metro,"Homosassa Springs, FL",FL,275006.32,275000.00,-0.18,-0.84,125630.52,137691.54,153423.87,160570.87,171122.09,213738.41,273897.85,276203.43,277870.52,275259.47,"February 28, 2025",2.30,423133.44,191927.93,270000.00,321300.00,50.00,February 25,42.58,1601.00,homosassa springs,"March 2, 2025",1.95,283000.00,84.73,95.36,98.69,6.85,9400000.00,39.13,64.03,85.21,139950.97,202101.57,307133.00,383112.88,537321.50
bangor_me,metro,"Bangor, ME",ME,259028.82,259000.00,0.66,6.21,132057.42,136291.94,144323.86,149070.26,158695.63,195236.62,225850.63,237823.30,251045.22,258181.89,"February 28, 2025",4.60,375336.63,170876.82,255000.00,285000.00,44.00,February 25,21.08,392.00,bangor,"March 2, 2025",2.73,6400.00,73.01,91.82,98.00,10.38,506400.00,26.92,48.74,73.91,145569.73,214766.65,271431.71,321239.82,345701.98
auburn_al,metro,"Auburn, AL",AL,315976.33,316000.00,0.49,3.78,183361.97,195066.19,205432.58,218201.08,228796.66,254806.54,284995.20,299335.67,310509.68,315201.49,"February 28, 2025",1.30,485227.58,205952.02,335000.00,377618.00,28.00,February 25,20.42,587.00,auburn,"March 2, 2025",1.95,31400.00,81.55,93.81,97.99,8.10,1800000.00,34.93,57.00,77.16,172582.00,249185.12,293909.37,410853.18,540157.71
niles_mi,metro,"Niles, MI",MI,246957.25,247000.00,0.14,2.70,141255.81,148284.49,155968.17,163489.84,171712.44,203243.69,229345.86,233999.74,244817.75,246789.64,"February 28, 2025",1.20,467020.66,135243.69,230000.00,318333.00,28.00,February 25,15.42,478.00,niles,"March 2, 2025",2.48,30200.00,76.55,93.20,98.34,8.81,3800000.00,31.69,54.57,77.45,153887.64,190490.69,253287.21,358897.79,507654.24
midland_tx,metro,"Midland, TX",TX,314481.89,314000.00,0.84,5.52,217177.10,215941.65,238017.47,272152.61,284267.97,280672.75,286365.01,289344.17,303661.65,313167.31,"February 28, 2025",-3.00,485570.18,207941.14,350325.00,370583.00,34.00,February 25,22.83,630.00,midland,"March 2, 2025",1.90,231800.00,84.41,95.11,98.57,6.37,10000000.00,41.50,66.60,86.27,147400.38,200754.63,299293.71,446835.86,675444.30
traverse_city_mi,metro,"Traverse City, MI",MI,388924.58,389000.00,0.04,4.66,198271.70,210696.91,223835.23,233580.02,245478.13,304168.20,349563.33,364224.89,380138.94,388844.57,"February 28, 2025",3.00,710119.82,236280.61,340500.00,436833.00,56.00,February 25,26.92,601.00,traverse city,"March 2, 2025",2.48,30200.00,76.55,93.20,98.34,8.81,3800000.00,31.69,54.57,77.45,265670.97,326156.51,389887.19,550040.89,732437.11
burlington_nc,metro,"Burlington, NC",NC,280333.08,280000.00,0.29,2.90,140266.31,147634.56,156667.68,165802.69,174885.25,205539.98,252743.71,263963.43,277751.36,279931.84,"February 28, 2025",3.30,407268.63,181299.54,267500.00,315000.00,31.00,February 25,16.92,396.00,burlington,"March 2, 2025",1.56,73200.00,87.33,96.03,98.79,6.38,4100000.00,41.72,65.53,83.94,129432.71,175873.07,279178.34,386322.49,467882.03
florence_al,metro,"Florence, AL",AL,204986.20,205000.00,0.37,3.91,123795.05,126572.53,129475.49,133888.87,141702.71,164145.38,187657.28,193798.31,203304.65,204606.79,"February 28, 2025",1.90,343250.95,118319.15,217000.00,261267.00,53.00,February 25,25.58,718.00,florence,"March 2, 2025",1.95,31400.00,81.55,93.81,97.99,8.10,1800000.00,34.93,57.00,77.16,170152.64,125861.61,212742.53,323643.80,434601.26
jackson_mi,metro,"Jackson, MI",MI,207070.22,207000.00,0.33,4.66,115503.84,123436.08,134238.39,143766.33,153736.82,177604.69,189361.70,191551.95,203444.18,206729.12,"February 28, 2025",0.10,335004.64,119177.69,172500.00,198600.00,31.00,February 25,16.33,445.00,jackson,"March 2, 2025",2.48,30200.00,76.55,93.20,98.34,8.81,3800000.00,31.69,54.57,77.45,105120.45,143017.65,213229.16,279395.21,328073.34
rapid_city_sd,metro,"Rapid City, SD",SD,354601.76,355000.00,0.29,3.58,192241.22,200032.26,209500.19,220696.65,237402.41,277141.48,335211.55,339002.93,345727.26,354091.14,"February 28, 2025",2.20,535617.69,260357.25,370000.00,408650.00,33.00,February 25,20.92,387.00,rapid city,"March 2, 2025",1.74,4800.00,85.11,95.59,98.96,7.53,310400.00,36.68,60.20,82.00,202501.09,273527.79,341851.03,399793.14,518544.36
decatur_al,metro,"Decatur, AL",AL,221428.46,221000.00,0.30,4.32,127291.80,132375.19,137698.79,148641.12,161833.60,186155.27,206163.04,211618.36,218136.48,221101.59,"February 28, 2025",0.60,340611.44,141894.92,212500.00,282833.00,37.00,February 25,25.33,500.00,decatur,"March 2, 2025",1.95,31400.00,81.55,93.81,97.99,8.10,1800000.00,34.93,57.00,77.16,170152.64,170764.16,235064.67,341167.65,441533.62
wheeling_wv,metro,"Wheeling, WV",WV,131588.78,132000.00,0.42,4.06,96357.70,96425.84,101856.33,104839.94,110210.76,121613.69,127148.29,125575.67,129034.46,131313.19,"February 28, 2025",-2.30,239129.69,64687.30,125000.00,165783.00,53.00,February 25,27.08,375.00,wheeling,"March 2, 2025",2.37,4600.00,76.31,92.23,97.43,10.33,632700.00,28.44,48.96,71.21,55730.49,90222.86,148622.78,204333.28,277801.32
ottawa_il,metro,"Ottawa, IL",IL,267228.58,267000.00,0.41,5.70,169306.62,176830.65,185250.59,190033.31,194981.14,218733.88,238812.34,244248.04,260246.34,266684.85,,,462642.80,137575.49,140000.00,175700.00,21.00,February 25,13.17,346.00,ottawa,"March 2, 2025",2.21,45300.00,80.30,94.85,98.74,8.18,4300000.00,33.85,57.38,79.92,183547.01,214983.59,270681.09,406295.76,534738.60
dothan_al,metro,"Dothan, AL",AL,179577.09,180000.00,0.47,5.94,118329.06,120503.15,121040.72,126244.25,133301.45,144783.08,163738.43,167713.26,173830.45,179153.45,"February 28, 2025",0.60,303949.84,92956.36,178000.00,231667.00,44.00,February 25,26.58,608.00,dothan,"March 2, 2025",1.95,31400.00,81.55,93.81,97.99,8.10,1800000.00,34.93,57.00,77.16,170152.64,101577.15,193133.35,316365.60,461535.48
state_college_pa,metro,"State College, PA",PA,328314.05,328000.00,0.36,3.56,211006.94,221487.16,230779.47,243683.57,254661.58,280546.04,298996.07,311973.82,319118.13,327720.40,"February 28, 2025",-0.60,494403.09,211625.39,350000.00,353250.00,18.00,February 25,12.92,181.00,state college,"March 2, 2025",2.52,37000.00,75.53,92.77,98.26,9.39,4600000.00,30.19,52.31,75.61,201639.67,238512.95,308163.62,452025.04,546044.18
chambersburg_pa,metro,"Chambersburg, PA",PA,269132.92,269000.00,-0.17,3.31,164218.37,170160.23,178528.81,187464.51,198439.15,225271.89,246987.30,255931.50,265016.88,269361.21,"February 28, 2025",0.40,381197.34,201864.76,259900.00,306417.00,19.00,February 25,12.00,267.00,chambersburg,"March 2, 2025",2.52,37000.00,75.53,92.77,98.26,9.39,4600000.00,30.19,52.31,75.61,160358.43,211443.91,263268.12,349950.62,409646.13
coeur_dalene_id,metro,"Coeur d'Alene, ID",ID,557162.75,557000.00,0.19,1.84,234784.01,258072.38,288166.66,319607.91,361565.59,495362.89,554458.03,554292.54,553490.17,556628.61,"February 28, 2025",3.10,906879.98,416542.23,551225.00,663622.00,55.00,February 25,38.00,821.00,coeur d alene,"March 2, 2025",1.40,15900.00,89.82,97.11,99.20,5.68,826100.00,45.26,70.74,89.18,451758.19,437076.00,523210.39,639716.30,782649.96
east_stroudsburg_pa,metro,"East Stroudsburg, PA",PA,297337.84,297000.00,0.19,3.11,138205.90,141601.63,152730.84,167151.71,175388.13,234360.92,279858.89,280465.85,293896.65,297062.05,"February 28, 2025",3.80,410208.94,216037.30,302450.00,344633.00,43.00,February 25,28.58,975.00,east stroudsburg,"March 2, 2025",2.52,37000.00,75.53,92.77,98.26,9.39,4600000.00,30.19,52.31,75.61,137451.61,208937.54,283576.10,372188.51,418831.37
rocky_mount_nc,metro,"Rocky Mount, NC",NC,194890.38,195000.00,0.31,2.50,99764.11,103351.80,108511.66,113952.72,122896.17,149411.09,174624.90,183264.93,194371.61,194591.89,"February 28, 2025",3.20,309956.84,106174.00,182000.00,224400.00,42.00,February 25,25.42,373.00,rocky mount,"March 2, 2025",1.56,73200.00,87.33,96.03,98.79,6.38,4100000.00,41.72,65.53,83.94,133666.96,108042.92,194379.72,277252.17,322587.67
grand_junction_co,metro,"Grand Junction, CO",CO,407620.63,408000.00,0.27,5.33,209509.69,220691.57,239530.55,259847.38,278156.28,327536.97,375264.30,380718.28,395617.62,407070.38,"February 28, 2025",1.70,589664.96,302174.01,391000.00,439900.00,32.00,February 25,22.25,766.00,grand junction,"March 2, 2025",1.34,41500.00,91.27,97.73,99.38,5.30,2200000.00,47.86,72.71,89.84,249322.45,298143.30,397250.69,523575.78,657765.58
