key_row,regiontype,regionname,statename,home_value,home_value_rounded,home_value_change_mm,home_value_change_yy,2016_median_home_value,2017_median_home_value,2018_median_home_value,2019_median_home_value,2020_median_home_value,2021_median_home_value,2022_median_home_value,2023_median_home_value,2024_median_home_value,2025_median_home_value,date,forecastyoypctchange,top_tier,bottom_tier,sale_price,listing_price,current_days_to_pending,dtp_month,days_to_pending,inventory,clean_regionname,zestimate_accuracy,zillow_on_market_median_error,zillow_on_market_properties,zillow_on_market_within_5,zillow_on_market_within_10,zillow_on_market_within_20,zillow_off_market_median_error,zillow_off_market_properties,zillow_off_market_within_5,zillow_off_market_within_10,zillow_off_market_within_20,home_value_one_bed,home_value_two_bed,home_value_three_bed,home_value_four_bed,home_value_five_bed
hays_ks,metro,"Hays, KS",KS,227574.19,228000.00,0.59,7.43,161094.59,159409.43,160088.09,164055.10,173806.93,188484.74,208892.40,210217.16,216508.68,226907.93,"February 28, 2025",-0.30,356759.45,142928.44,,228833.00,49.00,February 25,45.50,85.00,hays,"March 2, 2025",2.17,10600.00,80.51,94.88,98.92,7.47,1000000.00,36.37,60.81,82.11,75974.74,133293.16,212467.94,252440.55,313258.10
lewisburg_tn,metro,"Lewisburg, TN",TN,311618.94,312000.00,0.35,3.18,134702.11,151926.58,178203.32,194775.40,213020.41,254431.03,302621.88,301907.75,307457.59,311076.37,"February 28, 2025",1.90,481639.52,197445.16,,359483.00,52.00,February 25,44.00,156.00,lewisburg,"March 2, 2025",1.80,50400.00,83.62,94.30,97.94,8.39,2700000.00,34.07,55.66,75.61,242679.90,210889.72,326496.73,412990.30,654450.20
decatur_in,metro,"Decatur, IN",IN,225068.36,225000.00,0.94,8.06,119607.95,125015.17,133442.82,142922.95,149910.85,167145.73,190421.61,200880.75,214536.05,224019.86,"February 28, 2025",2.90,395620.89,142405.18,,219917.00,,February 25,,35.00,decatur,"March 2, 2025",1.92,26500.00,83.04,94.78,98.68,7.42,2500000.00,36.61,60.67,81.40,323695.04,160777.52,216490.80,275457.25,410833.20
ludington_mi,metro,"Ludington, MI",MI,234995.12,235000.00,-0.38,3.09,152168.65,152005.91,151350.97,152112.55,161297.28,202684.04,227479.04,229420.56,234704.66,235447.02,"February 28, 2025",0.70,388094.87,135107.87,,257417.00,,February 25,,95.00,ludington,"March 2, 2025",2.48,30200.00,76.55,93.20,98.34,8.81,3800000.00,31.69,54.57,77.45,156754.16,208070.94,259288.91,314676.59,404883.98
watertown_sd,metro,"Watertown, SD",SD,320807.22,321000.00,-0.05,1.82,203183.65,211038.77,213494.25,220577.06,230388.35,262517.90,307608.36,316111.43,322704.49,320891.51,"February 28, 2025",0.80,585328.08,177801.68,,339933.00,,February 25,,95.00,watertown,"March 2, 2025",1.74,4800.00,85.11,95.59,98.96,7.53,310400.00,36.68,60.20,82.00,152143.39,228734.45,294933.25,360727.60,490924.72
merrill_wi,metro,"Merrill, WI",WI,304117.60,304000.00,0.45,6.22,166274.36,176023.70,187573.95,199305.43,210597.15,243275.99,267606.91,281699.49,295960.92,303437.07,,,476991.56,190640.43,,,,February 25,,,merrill,"March 2, 2025",2.52,19000.00,75.80,93.64,98.71,7.99,2200000.00,34.28,58.33,80.93,173561.89,230709.25,309674.78,391370.05,451509.51
mcpherson_ks,metro,"McPherson, KS",KS,207148.78,207000.00,0.53,6.54,135163.87,137300.78,142858.94,150532.88,159134.80,171842.81,187842.05,191819.37,199720.55,206605.14,"February 28, 2025",-0.10,341711.71,123657.12,,251600.00,42.00,February 25,42.00,76.00,mcpherson,"March 2, 2025",2.17,10600.00,80.51,94.88,98.92,7.47,1000000.00,36.37,60.81,82.11,89244.19,143575.06,205839.80,270941.57,327875.80
weatherford_ok,metro,"Weatherford, OK",OK,161803.07,162000.00,0.67,7.45,111736.02,108868.90,112230.02,117075.65,119617.05,127368.72,135705.33,145377.97,153612.26,161262.04,"February 28, 2025",0.10,287833.74,83541.67,,186033.00,,February 25,,105.00,weatherford,"March 2, 2025",1.88,25300.00,83.34,94.65,98.31,7.39,1400000.00,37.78,59.86,79.00,87685.34,80214.94,178690.53,251780.77,268139.26
elkins_wv,metro,"Elkins, WV",WV,143958.16,144000.00,0.32,8.67,99320.59,103674.59,109605.26,103603.08,102803.02,117431.63,128898.96,131029.82,140049.82,143730.17,"February 28, 2025",0.60,244118.78,76936.37,,276967.00,,February 25,,35.00,elkins,"March 2, 2025",2.37,4600.00,76.31,92.23,97.43,10.33,632700.00,28.44,48.96,71.21,68602.67,99305.38,156109.61,189440.43,229548.62
washington_in,metro,"Washington, IN",IN,212186.98,212000.00,0.26,5.05,115970.42,122152.24,130775.20,137885.89,146157.55,172305.18,191588.77,199019.58,207973.08,211910.87,"February 28, 2025",1.60,370338.73,120729.06,,212667.00,,February 25,,81.00,washington,"March 2, 2025",1.92,26500.00,83.04,94.78,98.68,7.42,2500000.00,36.61,60.67,81.40,87876.93,133390.94,209455.71,267168.37,340544.74
frankfort_in,metro,"Frankfort, IN",IN,200868.61,201000.00,0.66,9.35,97486.92,99544.74,105300.76,115917.43,127170.89,150681.06,172574.03,179825.80,191175.71,200210.81,"February 28, 2025",4.10,315978.57,142048.31,,242967.00,,February 25,,67.00,frankfort,"March 2, 2025",1.92,26500.00,83.04,94.78,98.68,7.42,2500000.00,36.61,60.67,81.40,109617.97,148371.02,211665.73,254082.23,281877.72
safford_az,metro,"Safford, AZ",AZ,279608.99,280000.00,0.46,4.94,160155.26,165392.29,170188.92,185106.97,204781.75,234181.96,259674.23,264596.05,271734.42,278971.58,"February 28, 2025",0.90,381361.22,202298.70,,345709.00,25.00,February 25,25.00,88.00,safford,"March 2, 2025",1.41,53500.00,90.58,97.51,99.38,5.68,2600000.00,45.54,70.29,88.08,221271.08,339400.95,273497.81,337671.95,712934.89
kirksville_mo,metro,"Kirksville, MO",MO,167966.83,168000.00,0.45,3.41,114940.82,116598.79,119682.71,124859.58,130907.08,149593.02,159081.54,161323.63,165677.52,167587.72,"February 28, 2025",-0.80,312289.43,92787.52,,151967.00,63.00,February 25,59.50,135.00,kirksville,"March 2, 2025",2.23,27800.00,79.74,94.22,98.57,8.16,2300000.00,34.12,57.21,79.74,92483.85,101537.53,168587.91,236904.98,318442.49
arcadia_fl,metro,"Arcadia, FL",FL,246818.77,247000.00,-0.57,-1.33,109320.86,125189.06,136354.05,147642.90,154370.62,186755.57,249719.06,249121.29,251355.41,247531.51,"February 28, 2025",1.50,437294.69,157711.96,,386333.00,43.00,February 25,43.00,161.00,arcadia,"March 2, 2025",1.95,283000.00,84.73,95.36,98.69,6.85,9400000.00,39.13,64.03,85.21,245849.35,183866.36,266708.84,357672.16,504429.77
las_vegas_nm,metro,"Las Vegas, NM",NM,222014.13,222000.00,0.22,6.67,150331.58,155640.71,162435.68,170518.33,178193.72,199952.61,214784.60,208240.68,218741.93,221770.00,"February 28, 2025",-0.40,334276.52,149469.10,,321667.00,,February 25,,83.00,las vegas,"March 2, 2025",1.70,9500.00,86.08,95.87,98.94,6.43,722700.00,41.46,65.75,84.75,202806.05,223829.62,286045.90,413211.71,537313.61
kingsville_tx,metro,"Kingsville, TX",TX,139060.87,139000.00,-0.50,3.76,106004.43,105047.53,107720.16,113444.93,121069.83,135993.99,141484.93,136807.30,139946.25,139412.14,"February 28, 2025",-3.50,254670.35,74020.93,,184467.00,,February 25,,81.00,kingsville,"March 2, 2025",1.90,231800.00,84.41,95.11,98.57,6.37,10000000.00,41.50,66.60,86.27,147400.38,104285.08,184416.11,240893.34,622446.91
middlesborough_ky,metro,"Middlesborough, KY",KY,85028.14,85000.00,0.29,5.58,79358.05,73598.15,74498.08,80684.51,83485.69,85987.79,90779.29,90085.89,84167.07,84906.56,"February 28, 2025",-6.00,159801.11,48024.36,,196433.00,,February 25,,70.00,middlesborough,"March 2, 2025",1.99,17300.00,82.29,94.80,98.52,8.13,1600000.00,34.44,57.28,78.45,117246.60,78435.30,129758.04,188488.72,206224.95
dodge_city_ks,metro,"Dodge City, KS",KS,204459.04,204000.00,0.90,8.72,103476.97,107768.38,113977.20,119111.19,122257.24,144186.28,159495.56,176227.26,195042.81,203550.65,"February 28, 2025",4.70,297410.63,141038.51,,274117.00,,February 25,,90.00,dodge city,"March 2, 2025",2.17,10600.00,80.51,94.88,98.92,7.47,1000000.00,36.37,60.81,82.11,107150.18,164980.83,227839.35,259071.59,304675.77
washington_court_house_oh,metro,"Washington Court House, OH",OH,218987.20,219000.00,0.69,7.54,115891.19,122783.91,132112.08,138916.56,150353.85,173882.46,192997.06,196298.21,212342.82,218233.41,"February 28, 2025",1.80,385138.07,137558.68,,220500.00,,February 25,,60.00,washington court house,"March 2, 2025",2.36,43200.00,77.76,93.54,98.22,8.75,4200000.00,32.05,54.77,77.51,100363.00,138998.79,210810.66,276974.48,334327.00
van_wert_oh,metro,"Van Wert, OH",OH,173805.28,174000.00,0.70,8.21,90472.71,94398.45,99144.35,104759.29,112362.02,132579.25,146849.53,149984.27,166130.36,173204.98,"February 28, 2025",3.00,279884.05,116335.54,,150300.00,22.00,February 25,22.00,66.00,van wert,"March 2, 2025",2.36,43200.00,77.76,93.54,98.22,8.75,4200000.00,32.05,54.77,77.51,96333.12,125390.21,183222.37,213394.53,245544.42
plainview_tx,metro,"Plainview, TX",TX,108675.65,109000.00,-0.97,-1.40,84381.98,85171.24,89605.96,93404.21,100763.43,108072.40,119412.87,113884.44,112537.18,109208.37,"February 28, 2025",-5.50,208287.06,60619.86,,178317.00,,February 25,,119.00,plainview,"March 2, 2025",1.90,231800.00,84.41,95.11,98.57,6.37,10000000.00,41.50,66.60,86.27,147400.38,76730.10,146093.57,199258.11,622446.91
fredericksburg_tx,metro,"Fredericksburg, TX",TX,479589.01,480000.00,0.78,0.24,267510.51,296483.94,327055.62,324211.75,339349.01,415398.17,493396.45,478122.41,474920.38,477734.64,"February 28, 2025",1.70,869348.02,316225.15,,767333.00,99.00,February 25,99.00,320.00,fredericksburg,"March 2, 2025",1.90,231800.00,84.41,95.11,98.57,6.37,10000000.00,41.50,66.60,86.27,147400.38,429848.60,509256.66,697853.49,1224443.62
