website,Realtor,Zillow,Redfin,Census,
anchorage_ak,"anchorage, ak","Anchorage, AK",,"Anchorage, AK",metro
savannah_ga,"savannah, ga","Savannah, GA",,"Savannah, GA",metro
ann_arbor_mi,"ann arbor, mi","Ann Arbor, MI",,"Ann Arbor, MI",metro
hickory_nc,"hickory-lenoir-morganton, nc","Hickory, NC",,"Hickory-Lenoir-Morganton, NC",metro
ocala_fl,"ocala, fl","Ocala, FL",,"Ocala, FL",metro
montgomery_al,"montgomery, al","Montgomery, AL",,"Montgomery, AL",metro
visalia_ca,"Visalia, CA","Visalia, CA",,"Visalia, CA",metro
fort_collins_co,"Fort Collins-Loveland, CO","Fort Collins, CO",,"Fort Collins, CO",metro
trenton_nj,"Trenton-Princeton, NJ","Trenton, NJ",,"Trenton-Princeton, NJ",metro
kalamazoo_mi,"kalamazoo-portage, mi","Kalamazoo, MI",,"Kalamazoo-Portage, MI",metro
salinas_ca,"salinas, ca","Salinas, CA",,"Salinas, CA",metro
roanoke_va,"roanoke, va","Roanoke, VA",,"Roanoke, VA",metro
boulder_co,"boulder, co","Boulder, CO",,"Boulder, CO",metro
kingsport_tn,"Kingsport-Bristol, TN-VA","Kingsport, TN",,"Kingsport-Bristol, TN-VA",metro
rockford_il,"rockford, il","Rockford, IL",,"Rockford, IL",metro
lincoln_ne,"lincoln, ne","Lincoln, NE",,"Lincoln, NE",metro
evansville_in,"Evansville, IN","Evansville, IN",,"Evansville, IN-KY",metro
green_bay_wi,"green bay, wi","Green Bay, WI",,"Green Bay, WI",metro
brownsville_tx,"brownsville-harlingen, tx","Brownsville, TX",,"Brownsville-Harlingen, TX",metro
spartanburg_sc,"spartanburg, sc","Spartanburg, SC",,"Spartanburg, SC",metro
south_bend_in,"south bend-mishawaka, in-mi","South Bend, IN",,"South Bend-Mishawaka, IN-MI",metro
columbus_ga,"columbus, ga-al","Columbus, GA",,"Columbus, GA-AL",metro
utica_ny,"utica-rome, ny","Utica, NY",,"Utica-Rome, NY",metro
duluth_mn,"duluth, mn-wi","Duluth, MN",,"Duluth, MN-WI",metro
lubbock_tx,"lubbock, tx","Lubbock, TX",,"Lubbock, TX",metro
wilmington_nc,"wilmington, nc","Wilmington, NC",,"Wilmington, NC",metro
gainesville_fl,"gainesville, fl","Gainesville, FL",,"Gainesville, FL",metro
erie_pa,"erie, pa","Erie, PA",,"Erie, PA",metro
olympia_wa,"Olympia-Lacey-Tumwater, WA","Olympia, WA",,"Olympia-Lacey-Tumwater, WA",metro
cedar_rapids_ia,"cedar rapids, ia","Cedar Rapids, IA",,"Cedar Rapids, IA",metro
fort_smith_ar,"fort smith, ar-ok","Fort Smith, AR",,"Fort Smith, AR-OK",metro
crestview_fl,"crestview-fort walton beach-destin, fl","Crestview, FL",,"Crestview-Fort Walton Beach-Destin, FL",metro
norwich_ct,"Norwich-New London-Willimantic, CT","Norwich, CT",,"Norwich-New London, CT",metro
san_luis_obispo_ca,"San Luis Obispo-Paso Robles, CA","San Luis Obispo, CA",,"San Luis Obispo-Paso Robles, CA",metro
clarksville_tn,"clarksville, tn-ky","Clarksville, TN",,"Clarksville, TN-KY",metro
lynchburg_va,"lynchburg, va","Lynchburg, VA",,"Lynchburg, VA",metro
atlantic_city_nj,"atlantic city-hammonton, nj","Atlantic City, NJ",,"Atlantic City-Hammonton, NJ",metro
greeley_co,"greeley, co","Greeley, CO",,"Greeley, CO",metro
bremerton_wa,"Bremerton-Silverdale-Port Orchard, WA","Bremerton, WA",,"Bremerton-Silverdale-Port Orchard, WA",metro
sioux_falls_sd,"Sioux Falls, SD-MN","Sioux Falls, SD",,"Sioux Falls, SD",metro
binghamton_ny,"binghamton, ny","Binghamton, NY",,"Binghamton, NY",metro
amarillo_tx,"amarillo, tx","Amarillo, TX",,"Amarillo, TX",metro
santa_cruz_ca,"santa cruz-watsonville, ca","Santa Cruz, CA",,"Santa Cruz-Watsonville, CA",metro
hagerstown_md,"hagerstown-martinsburg, md-wv","Hagerstown, MD",,"Hagerstown-Martinsburg, MD-WV",metro
fargo_nd,"fargo, nd-mn","Fargo, ND",,"Fargo, ND-MN",metro
kennewick_wa,"kennewick-richland, wa","Kennewick, WA",,"Kennewick-Richland, WA",metro
waco_tx,"waco, tx","Waco, TX",,"Waco, TX",metro
champaign_il,"champaign-urbana, il","Champaign, IL",,"Champaign-Urbana, IL",metro
prescott_az,"Prescott Valley-Prescott, AZ","Prescott Valley, AZ",,"Prescott Valley-Prescott, AZ",metro
barnstable_town_ma,"barnstable town, ma","Barnstable Town, MA",,"Barnstable Town, MA",metro
charleston_wv,"charleston, wv","Charleston, WV",,"Charleston, WV",metro
tuscaloosa_al,"tuscaloosa, al","Tuscaloosa, AL",,"Tuscaloosa, AL",metro
topeka_ks,"topeka, ks","Topeka, KS",,"Topeka, KS",metro
college_station_tx,"college station-bryan, tx","College Station, TX",,"College Station-Bryan, TX",metro
appleton_wi,"appleton, wi","Appleton, WI",,"Appleton, WI",metro
claremont_nh,"Lebanon-Claremont, NH-VT","Lebanon, NH",,"Lebanon, NH-VT",metro
chico_ca,"chico, ca","Chico, CA",,"Chico, CA",metro
charlottesville_va,"charlottesville, va","Charlottesville, VA",,"Charlottesville, VA",metro
springfield_il,"springfield, il","Springfield, IL",,"Springfield, IL",metro
macon_ga,"Macon-Bibb County, GA","Macon, GA",,"Macon-Bibb County, GA",metro
medford_or,"medford, or","Medford, OR",,"Medford, OR",metro
burlington_vt,"burlington-south burlington, vt","Burlington, VT",,"Burlington-South Burlington, VT",metro
rochester_mn,"rochester, mn","Rochester, MN",,"Rochester, MN",metro
bellingham_wa,"bellingham, wa","Bellingham, WA",,"Bellingham, WA",metro
johnson_city_tn,"johnson city, tn","Johnson City, TN",,"Johnson City, TN",metro
tyler_tx,"tyler, tx","Tyler, TX",,"Tyler, TX",metro
hilton_head_island_sc,"Hilton Head Island-Bluffton-Port Royal, SC","Hilton Head Island, SC",,"Hilton Head Island-Bluffton, SC",metro
lake_havasu_city_az,"lake havasu city-kingman, az","Lake Havasu City, AZ",,"Lake Havasu City-Kingman, AZ",metro
daphne_al,"daphne-fairhope-foley, al","Daphne, AL",,"Daphne-Fairhope-Foley, AL",metro
yakima_wa,"yakima, wa","Yakima, WA",,"Yakima, WA",metro
lafayette_in,"lafayette-west lafayette, in","Lafayette, IN",,"Lafayette-West Lafayette, IN",metro
longview_tx,"longview, tx","Longview, TX",,"Longview, TX",metro
florence_sc,"florence, sc","Florence, SC",,"Florence, SC",metro
lake_charles_la,"lake charles, la","Lake Charles, LA",,"Lake Charles, LA",metro
punta_gorda_fl,"punta gorda, fl","Punta Gorda, FL",,"Punta Gorda, FL",metro
panama_city_fl,"Panama City-Panama City Beach, FL","Panama City, FL",,"Panama City, FL",metro
merced_ca,"merced, ca","Merced, CA",,"Merced, CA",metro
las_cruces_nm,"las cruces, nm","Las Cruces, NM",,"Las Cruces, NM",metro
houma_la,"Houma-Bayou Cane-Thibodaux, LA","Houma, LA",,"Houma-Thibodaux, LA",metro
saginaw_mi,"saginaw, mi","Saginaw, MI",,"Saginaw, MI",metro
racine_wi,"Racine-Mount Pleasant, WI","Racine, WI",,"Racine, WI",metro
athens_ga,"athens-clarke county, ga","Athens, GA",,"Athens-Clarke County, GA",metro
torrington_ct,"torrington, ct","Torrington, CT",,"Torrington, CT",metro
st_cloud_mn,"st. cloud, mn","St. Cloud, MN",,"St. Cloud, MN",metro
bloomington_il,"bloomington, il","Bloomington, IL",,"Bloomington, IL",metro
laredo_tx,"laredo, tx","Laredo, TX",,"Laredo, TX",metro
hilo_hi,"Hilo-Kailua, HI","Hilo, HI",,"Hilo, HI",metro
redding_ca,"redding, ca","Redding, CA",,"Redding, CA",metro
elkhart_in,"elkhart-goshen, in","Elkhart, IN",,"Elkhart-Goshen, IN",metro
warner_robins_ga,"warner robins, ga","Warner Robins, GA",,"Warner Robins, GA",metro
blacksburg_va,"blacksburg-christiansburg-radford, va","Blacksburg, VA",,"Blacksburg-Christiansburg, VA",metro
greenville_nc,"greenville, nc","Greenville, NC",,"Greenville, NC",metro
bend_or,"Bend, OR","Bend, OR",,"Bend, OR",metro
billings_mt,"billings, mt","Billings, MT",,"Billings, MT",metro
kingston_ny,"kingston, ny","Kingston, NY",,"Kingston, NY",metro
oshkosh_wi,"oshkosh-neenah, wi","Oshkosh, WI",,"Oshkosh-Neenah, WI",metro
monroe_la,"monroe, la","Monroe, LA",,"Monroe, LA",metro
columbia_mo,"columbia, mo","Columbia, MO",,"Columbia, MO",metro
waterloo_ia,"waterloo-cedar falls, ia","Waterloo, IA",,"Waterloo-Cedar Falls, IA",metro
jacksonville_nc,"jacksonville, nc","Jacksonville, NC",,"Jacksonville, NC",metro
iowa_city_ia,"iowa city, ia","Iowa City, IA",,"Iowa City, IA",metro
joplin_mo,"Joplin, MO-KS","Joplin, MO",,"Joplin, MO",metro
eau_claire_wi,"eau claire, wi","Eau Claire, WI",,"Eau Claire, WI",metro
muskegon_mi,"Muskegon-Norton Shores, MI","Muskegon, MI",,"Muskegon, MI",metro
bloomington_in,"bloomington, in","Bloomington, IN",,"Bloomington, IN",metro
yuma_az,"yuma, az","Yuma, AZ",,"Yuma, AZ",metro
gainesville_ga,"gainesville, ga","Gainesville, GA",,"Gainesville, GA",metro
terre_haute_in,"terre haute, in","Terre Haute, IN",,"Terre Haute, IN",metro
santa_fe_nm,"santa fe, nm","Santa Fe, NM",,"Santa Fe, NM",metro
bowling_green_ky,"bowling green, ky","Bowling Green, KY",,"Bowling Green, KY",metro
pueblo_co,"pueblo, co","Pueblo, CO",,"Pueblo, CO",metro
dover_de,"dover, de","Dover, DE",,"Dover, DE",metro
abilene_tx,"abilene, tx","Abilene, TX",,"Abilene, TX",metro
